"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
1131,1372744952000,1372746083000,531,"Forsyth St & Broome St",40.71893904,-73.99266288,532,"S 5 Pl & S 4 St",40.710451,-73.960876,15282,"Customer",,0
256,1372745015000,1372745271000,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,453,"W 22 St & 8 Ave",40.74475148,-73.99915362,17736,"Subscriber",1963,1
871,1372748157000,1372749028000,519,"Pershing Square N",40.75188406,-73.97770164,504,"1 Ave & E 15 St",40.732218530000004,-73.98165557,16335,"Subscriber",1987,1
693,1372762007000,1372762700000,497,"E 17 St & Broadway",40.73704984,-73.99009296,545,"E 23 St & 1 Ave",40.736502,-73.97809472,19312,"Customer",,0
266,1372769941000,1372770207000,369,"Washington Pl & 6 Ave",40.73224119,-74.00026394,229,"Great Jones St",40.72743423,-73.99379025,18493,"Subscriber",1966,1
846,1372774140000,1372774986000,385,"E 55 St & 2 Ave",40.757973220000004,-73.96603308,493,"W 45 St & 6 Ave",40.7568001,-73.98291153,14771,"Subscriber",1970,1
430,1372774305000,1372774735000,304,"Broadway & Battery Pl",40.70463334,-74.01361706,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,20084,"Subscriber",1980,1
563,1372774931000,1372775494000,384,"Fulton St & Waverly Ave",40.68317813,-73.9659641,395,"Bond St & Schermerhorn St",40.68807003,-73.98410637,15868,"Subscriber",1969,1
486,1372775858000,1372776344000,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,427,"State St",40.70251526,-74.01427023000001,20084,"Subscriber",1975,1
414,1372778568000,1372778982000,360,"William St & Pine St",40.70717936,-74.00887308,330,"Reade St & Broadway",40.71450451,-74.00562789,18798,"Subscriber",1970,1
763,1372779186000,1372779949000,501,"FDR Drive & E 35 St",40.744219,-73.97121214,474,"5 Ave & E 29 St",40.745167699999996,-73.98683077,15480,"Subscriber",1953,1
1144,1372779845000,1372780989000,519,"Pershing Square N",40.75188406,-73.97770164,463,"9 Ave & W 16 St",40.74206539,-74.00443172,15168,"Subscriber",1970,1
543,1372780372000,1372780915000,290,"2 Ave & E 58 St",40.76020258,-73.96478473,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,19718,"Subscriber",1963,1
190,1372781403000,1372781593000,245,"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,239,"Willoughby St & Fleet St",40.69196566,-73.9813018,18242,"Subscriber",1981,1
320,1372785566000,1372785886000,291,"Madison St & Montgomery St",40.713125999999995,-73.984844,410,"Suffolk St & Stanton St",40.72066442,-73.98517977,18298,"Subscriber",1979,1
129,1372786301000,1372786430000,468,"Broadway & W 55 St",40.7652654,-73.98192338,352,"W 56 St & 6 Ave",40.76340613,-73.97722479000001,15187,"Subscriber",1960,1
573,1372789163000,1372789736000,325,"E 19 St & 3 Ave",40.73624527,-73.98473765,339,"Avenue D & E 12 St",40.72580614,-73.97422494,17627,"Subscriber",1981,1
2724,1372789712000,1372792436000,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,16364,"Customer",,0
756,1372791439000,1372792195000,538,"W 49 St & 5 Ave",40.75795248,-73.97787642,317,"E 6 St & Avenue B",40.72453734,-73.98185424,19989,"Subscriber",1968,1
487,1372796411000,1372796898000,510,"W 51 St & 6 Ave",40.7606597,-73.98042047,228,"E 48 St & 3 Ave",40.7546011026,-73.971878855,18365,"Subscriber",1963,1
526,1372797349000,1372797875000,362,"Broadway & W 37 St",40.75172632,-73.98753523,72,"W 52 St & 11 Ave",40.76727216,-73.99392888,15876,"Subscriber",1955,1
723,1372798951000,1372799674000,128,"MacDougal St & Prince St",40.72710258,-74.00297088,486,"Broadway & W 29 St",40.7462009,-73.98855723,19129,"Subscriber",1980,1
421,1372798955000,1372799376000,316,"Fulton St & William St",40.709559580000004,-74.00653609,224,"Spruce St & Nassau St",40.71146364,-74.00552427,18986,"Customer",,0
561,1372800593000,1372801154000,363,"West Thames St",40.70834698,-74.01713445,147,"Greenwich St & Warren St",40.71542197,-74.01121978,17977,"Subscriber",1975,1
582,1372803429000,1372804011000,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,16528,"Subscriber",1961,1
549,1372805082000,1372805631000,463,"9 Ave & W 16 St",40.74206539,-74.00443172,433,"E 13 St & Avenue A",40.72955361,-73.98057249,14588,"Subscriber",1977,1
856,1372805593000,1372806449000,402,"Broadway & E 22 St",40.7403432,-73.98955109,410,"Suffolk St & Stanton St",40.72066442,-73.98517977,18086,"Subscriber",1970,1
238,1372807124000,1372807362000,479,"9 Ave & W 45 St",40.760192520000004,-73.9912551,508,"W 46 St & 11 Ave",40.76341379,-73.99667444,14979,"Customer",,0
660,1372808586000,1372809246000,164,"E 47 St & 2 Ave",40.75323098,-73.97032517,528,"2 Ave & E 31 St",40.74290902,-73.97706058,19836,"Subscriber",1983,1
322,1372813475000,1372813797000,324,"DeKalb Ave & Hudson Ave",40.689887999999996,-73.98101299999999,128,"MacDougal St & Prince St",40.72710258,-74.00297088,18856,"Subscriber",1978,1
698,1372814800000,1372815498000,233,"Joralemon St & Adams St",40.69246277,-73.98963911,467,"Dean St & 4 Ave",40.68312489,-73.97895137,15535,"Subscriber",1980,2
651,1372815183000,1372815834000,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,457,"Broadway & W 58 St",40.76695317,-73.98169333,19313,"Subscriber",1961,1
256,1372815953000,1372816209000,395,"Bond St & Schermerhorn St",40.68807003,-73.98410637,2022,"E 59 St & Sutton Pl",40.75849116,-73.95920622,15496,"Subscriber",1956,1
333,1372817104000,1372817437000,529,"W 42 St & 8 Ave",40.7575699,-73.99098507000001,490,"8 Ave & W 33 St",40.751551,-73.993934,14877,"Subscriber",1963,1
200,1372817737000,1372817937000,253,"W 13 St & 5 Ave",40.73543934,-73.99453948,416,"Cumberland St & Lafayette Ave",40.687534060000004,-73.97265183,17221,"Subscriber",1981,1
1065,1372818402000,1372819467000,376,"John St & William St",40.70862144,-74.00722156,301,"E 2 St & Avenue B",40.72217444,-73.98368779,16989,"Subscriber",1983,1
260,1372819206000,1372819466000,490,"8 Ave & W 33 St",40.751551,-73.993934,448,"W 37 St & 10 Ave",40.75660359,-73.99790089999999,15107,"Subscriber",1975,1
578,1372819569000,1372820147000,294,"Washington Square E",40.73049393,-73.9957214,379,"W 31 St & 7 Ave",40.749156,-73.9916,18244,"Subscriber",1987,1
318,1372823206000,1372823524000,279,"Sands St & Gold St",40.69986937,-73.98271933,242,"Flushing Ave & Carlton Ave",40.69788349,-73.97350332,16848,"Subscriber",1987,1
1698,1372823248000,1372824946000,232,"Cadman Plaza E & Tillary St",40.69597683,-73.99014892,436,"Hancock St & Bedford Ave",40.68216564,-73.95399026,17339,"Subscriber",1978,1
99,1372860215000,1372860314000,348,"W Broadway & Spring St",40.72490985,-74.00154702,328,"Watts St & Greenwich St",40.72405549,-74.00965965,16434,"Subscriber",1978,1
615,1372862934000,1372863549000,229,"Great Jones St",40.72743423,-73.99379025,257,"Lispenard St & Broadway",40.71939226,-74.00247214,17718,"Subscriber",1983,1
1432,1372867609000,1372869041000,464,"E 56 St & 3 Ave",40.759345010000004,-73.96759673,458,"11 Ave & W 27 St",40.751396,-74.005226,16821,"Subscriber",1970,1
261,1372870258000,1372870519000,510,"W 51 St & 6 Ave",40.7606597,-73.98042047,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,16293,"Subscriber",1970,1
326,1372874017000,1372874343000,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,382,"University Pl & E 14 St",40.73492695,-73.99200509,15494,"Subscriber",1977,2
498,1372875076000,1372875574000,386,"Centre St & Worth St",40.71494807,-74.00234482,328,"Watts St & Greenwich St",40.72405549,-74.00965965,18285,"Subscriber",1987,1
795,1372875490000,1372876285000,340,"Madison St & Clinton St",40.71269042,-73.98776323,524,"W 43 St & 6 Ave",40.75527307,-73.98316936,14790,"Subscriber",1940,1
