Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 12/13  13:00:00,1270.18370277,110.355210385,418.265558406,0.0,243.2593065,310.10971186,519.327630942,412.959302714,70.808374512,35.5599537167
 12/13  14:00:00,1309.076127,110.89234931,418.903527443,0.0,243.2593065,302.612436532,501.635257367,400.31326976,56.6466996096,44.675287997
 12/13  15:00:00,1309.90724321,110.716855006,418.338328355,0.0,243.2593065,302.612436532,511.444975999,424.367987204,42.4850247072,44.5919640882
 12/13  16:00:00,1306.65369768,111.242465148,419.469857608,0.0,243.2593065,302.612436532,517.430036136,425.191918515,56.6466996096,35.5914180112
 12/13  17:00:00,1317.12721467,111.53895846,422.155804205,0.0,243.2593065,310.10971186,557.430843202,437.061188334,84.9700494144,35.3996054538
 12/13  18:00:00,1331.53602058,111.856341186,422.229768246,0.0,243.2593065,310.10971186,548.69011894,446.195066863,84.9700494144,17.5250026624
 12/13  19:00:00,1054.97693112,102.087533008,420.764150038,0.0,166.938926447,199.110933808,547.003228204,444.567549876,84.9700494144,17.4656289131
 12/13  20:00:00,1045.07024337,102.087533008,422.483290264,0.0,166.938926447,191.61365848,525.086602472,450.974415545,56.6466996096,17.4654873179
 12/13  21:00:00,913.882456896,102.087533008,425.326783981,0.0,100.150657288,124.558693486,567.643931632,493.531796421,56.6466996096,17.4654356015
 12/13  22:00:00,875.667466181,102.087533008,425.888677028,0.0,100.150657288,124.558693486,555.509509898,495.605836472,42.4850247072,17.4186487186
 12/13  23:00:00,815.076251452,102.087533008,430.780721264,0.0,46.0930336215,124.558693486,544.302949772,507.261938396,28.3233498048,8.71766157121
 12/13  24:00:00,824.131366353,102.087533008,437.075292016,0.0,46.0930336215,124.558693486,544.760282737,513.186966652,14.1616749024,17.4116411822
 12/14  01:00:00,819.293145802,102.087533008,444.722896948,0.0,46.0930336215,113.312780494,552.410243096,529.332842892,5.66466996096,17.4127302427
 12/14  02:00:00,821.007857323,102.087533008,447.442823113,0.0,46.0930336215,113.312780494,551.175106849,536.792936541,5.66466996096,8.71750034666
 12/14  03:00:00,818.642507355,102.087533008,445.6766674,0.0,46.0930336215,113.312780494,565.294551624,542.218212751,5.66466996096,17.4116689115
 12/14  04:00:00,816.408151353,102.087533008,444.300143449,0.0,46.0930336215,113.312780494,572.576300409,549.49929534,5.66466996096,17.4123351082
 12/14  05:00:00,904.536710135,102.087533008,442.603542358,0.0,100.150657288,148.969399434,547.287628402,532.905688599,5.66466996096,8.71726984182
 12/14  06:00:00,907.597630783,102.659328149,442.861575322,0.0,100.150657288,149.894399434,797.471660963,765.894185616,14.1616749024,17.4158004437
 12/14  07:00:00,1139.88878793,104.103438228,444.268237914,0.0,176.471037341,302.612436532,604.667046843,558.931771866,28.3233498048,17.4119251714
 12/14  08:00:00,1254.42131395,106.333348788,444.733910462,0.0,243.2593065,310.10971186,576.971034783,516.907132606,42.4850247072,17.5788774699
 12/14  09:00:00,1292.88463621,107.333051497,444.855566441,0.0,243.2593065,310.10971186,590.698070867,498.729890644,56.6466996096,35.3214806135
 12/14  10:00:00,1325.29382446,108.086992321,442.220045854,0.0,243.2593065,302.612436532,563.035253551,485.100418031,42.4850247072,35.4498108131
 12/14  11:00:00,1324.90461169,108.754100198,432.713435168,0.0,243.2593065,310.10971186,570.540739012,464.069293675,70.808374512,35.6630708251
 12/14  12:00:00,1324.70520633,108.984168934,430.945303143,0.0,243.2593065,310.10971186,587.650896498,472.16188316,70.808374512,44.6806388262
 12/14  13:00:00,1265.71851697,109.623505078,411.784964437,0.0,243.2593065,310.10971186,557.501830241,451.153180819,70.808374512,35.5402749099
 12/14  14:00:00,1277.54945562,110.504579949,387.470696903,0.0,243.2593065,302.612436532,506.075695857,404.746901275,56.6466996096,44.6820949725
 12/14  15:00:00,1285.92318494,110.755456079,396.113651208,0.0,243.2593065,302.612436532,488.636007796,410.487840301,42.4850247072,35.6631427869
 12/14  16:00:00,1315.14880205,111.245113955,427.469951446,0.0,243.2593065,302.612436532,505.592949891,413.341274577,56.6466996096,35.6049757044
 12/14  17:00:00,1338.31960476,111.559135163,441.380353752,0.0,243.2593065,310.10971186,544.106674795,423.725648314,84.9700494144,35.4109770665
 12/14  18:00:00,1353.03310373,111.82177975,444.686967135,0.0,243.2593065,310.10971186,542.565538414,440.072864449,84.9700494144,17.5226245505
 12/14  19:00:00,1076.83791359,102.087533008,444.624467377,0.0,166.938926447,199.110933808,545.993166038,443.557553489,84.9700494144,17.4655631342
 12/14  20:00:00,1065.33862708,102.087533008,440.967595514,0.0,166.938926447,191.61365848,527.552256905,453.441399724,56.6466996096,17.4641575719
 12/14  21:00:00,928.042486688,102.087533008,438.031263346,0.0,100.150657288,124.558693486,569.260813974,495.149812796,56.6466996096,17.4643015681
 12/14  22:00:00,884.650492637,102.087533008,435.156649802,0.0,100.150657288,124.558693486,565.489095563,505.585578032,42.4850247072,17.4184928236
 12/14  23:00:00,814.178734697,102.087533008,432.53425692,0.0,46.0930336215,124.558693486,570.085858605,524.348480322,28.3233498048,17.4140284784
 12/14  24:00:00,812.977040376,102.087533008,430.659750858,0.0,46.0930336215,124.558693486,556.052078141,533.175156793,14.1616749024,8.71524644566
 12/15  01:00:00,796.518432439,102.087533008,426.797797655,0.0,46.0930336215,113.312780494,560.820111602,537.742625124,5.66466996096,17.4128165171
 12/15  02:00:00,793.216940077,102.087533008,423.634181017,0.0,46.0930336215,113.312780494,567.771948618,544.693505492,5.66466996096,17.4137731647
 12/15  03:00:00,789.593655536,102.087533008,420.18614357,0.0,46.0930336215,113.312780494,566.464371347,552.081653032,5.66466996096,8.71804835388
 12/15  04:00:00,787.696730109,102.087533008,415.708485973,0.0,46.0930336215,113.312780494,582.000721139,558.923652251,5.66466996096,17.4123989271
 12/15  05:00:00,876.280980333,102.087533008,412.79568141,0.0,100.150657288,148.969399434,561.468378646,538.390299315,5.66466996096,17.4134093703
 12/15  06:00:00,877.981539276,102.698006642,414.266752651,0.0,100.150657288,149.894399434,809.163523794,786.283994015,14.1616749024,8.71785487669
 12/15  07:00:00,1107.23751842,104.260778939,414.185779355,0.0,176.471037341,302.612436532,635.457572184,589.721010649,28.3233498048,17.4132117301
 12/15  08:00:00,1221.33768535,106.68495616,415.065649129,0.0,243.2593065,310.10971186,604.416325496,535.572003343,42.4850247072,26.359297446
 12/15  09:00:00,1263.07480511,108.227152591,417.886055469,0.0,243.2593065,310.10971186,562.149207759,479.004466365,56.6466996096,26.4980417846
 12/15  10:00:00,1302.93676903,109.249156896,423.111304912,0.0,243.2593065,302.612436532,520.498744698,442.552024599,42.4850247072,35.4616953916
 12/15  11:00:00,1319.53732583,109.929066255,430.695698238,0.0,243.2593065,310.10971186,528.17536858,421.688425664,70.808374512,35.6785684034
 12/15  12:00:00,1325.88433638,110.780032411,435.118679151,0.0,243.2593065,310.10971186,522.997140533,407.510355261,70.808374512,44.6784107598
 12/15  13:00:00,1285.89722875,111.352905519,436.249750355,0.0,243.2593065,310.10971186,505.954233337,399.591137393,70.808374512,35.5547214323
 12/15  14:00:00,1321.08751177,112.224088819,436.706490861,0.0,243.2593065,302.612436532,478.556190786,377.228616531,56.6466996096,44.6808746446
 12/15  15:00:00,1320.99761596,112.679002606,436.026841046,0.0,243.2593065,302.612436532,444.277257892,366.113862948,42.4850247072,35.6783702363
 12/15  16:00:00,1319.73282239,112.558322325,434.137278391,0.0,243.2593065,302.612436532,484.430262504,383.285678188,56.6466996096,44.4978847058
 12/15  17:00:00,1327.39768379,112.738681027,431.042788445,0.0,243.2593065,310.10971186,518.141023139,406.611789185,84.9700494144,26.5591845396
 12/15  18:00:00,1339.13223001,113.008829386,430.130666662,0.0,243.2593065,310.10971186,534.341235452,423.094671021,84.9700494144,26.2765150159
 12/15  19:00:00,1063.21728766,102.087533008,428.950310237,0.0,166.938926447,199.110933808,530.130977015,427.697387403,84.9700494144,17.4635401978
 12/15  20:00:00,1050.94815007,102.087533008,427.413154641,0.0,166.938926447,191.61365848,513.542550458,439.432327,56.6466996096,17.4635238485
 12/15  21:00:00,913.534690253,102.087533008,425.658627506,0.0,100.150657288,124.558693486,559.918425628,485.808187375,56.6466996096,17.4635386436
 12/15  22:00:00,873.834744668,102.087533008,425.176890891,0.0,100.150657288,124.558693486,543.26457504,492.060603751,42.4850247072,8.71894658185
 12/15  23:00:00,808.638706254,102.087533008,426.904802494,0.0,46.0930336215,124.558693486,556.187488104,510.449524674,28.3233498048,17.4146136247
 12/15  24:00:00,811.781300529,102.087533008,429.113966388,0.0,46.0930336215,124.558693486,549.740592123,518.166206774,14.1616749024,17.4127104459
 12/16  01:00:00,799.42129265,102.087533008,429.49585573,0.0,46.0930336215,113.312780494,539.958891135,525.578158848,5.66466996096,8.71606232564
 12/16  02:00:00,797.053473461,102.087533008,427.128432165,0.0,46.0930336215,113.312780494,552.188633096,529.109558446,5.66466996096,17.41440469
 12/16  03:00:00,796.361936958,102.087533008,426.575393275,0.0,46.0930336215,113.312780494,556.665311755,533.588082624,5.66466996096,17.4125591698
 12/16  04:00:00,794.578707333,102.087533008,424.9692853,0.0,46.0930336215,113.312780494,554.942106784,540.561499884,5.66466996096,8.71593693901
 12/16  05:00:00,803.562426738,102.087533008,423.770448556,0.0,55.6251445156,113.312780494,557.529289547,534.450529374,5.66466996096,17.4140902116
 12/16  06:00:00,804.151151147,102.087533008,424.382194101,0.0,55.6251445156,113.312780494,568.73935868,537.163477145,14.1616749024,17.4142066322
 12/16  07:00:00,876.158886163,102.087533008,423.370864696,0.0,65.1572554096,176.889270242,516.482218224,479.443087043,28.3233498048,8.71578137593
 12/16  08:00:00,985.413387113,102.453504497,422.299144353,0.0,109.682768182,220.96816451,774.065740456,714.166275407,42.4850247072,17.4144403419
 12/16  09:00:00,992.090251272,102.450777856,422.806484176,0.0,109.682768182,220.96816451,672.492738949,598.343565873,56.6466996096,17.502473466
 12/16  10:00:00,1103.10377811,102.971579153,425.757009302,0.0,131.945524568,266.955817592,607.369221557,538.509322585,42.4850247072,26.374874264
 12/16  11:00:00,1115.53992019,103.141791755,429.979515558,0.0,131.945524568,274.45309292,613.671669328,507.549873137,70.808374512,35.3134216786
 12/16  12:00:00,1118.58709521,103.189871654,432.022346534,0.0,131.945524568,274.45309292,595.996839333,498.692814498,70.808374512,26.495650323
 12/16  13:00:00,1087.22571091,103.299401023,432.506426749,0.0,131.945524568,274.45309292,580.913568619,483.619190477,70.808374512,26.4860036307
 12/16  14:00:00,1083.51473059,103.634756005,435.20148892,0.0,131.945524568,266.955817592,543.545784857,451.592276408,56.6466996096,35.3068088395
 12/16  15:00:00,1086.22283094,103.716155478,437.217628371,0.0,131.945524568,266.955817592,498.098415558,429.124124978,42.4850247072,26.489265873
 12/16  16:00:00,1009.85086356,102.087533008,439.085240029,0.0,109.682768182,212.545889182,431.274333265,348.139730274,56.6466996096,26.4879033816
 12/16  17:00:00,1021.52073288,102.087533008,439.900914274,0.0,109.682768182,220.04316451,504.920426363,384.639393482,84.9700494144,35.3109834668
 12/16  18:00:00,990.594442541,102.087533008,439.9067281,0.0,109.682768182,220.04316451,510.792884724,408.247619771,84.9700494144,17.5752155389
 12/16  19:00:00,951.526682313,102.087533008,439.801944353,0.0,100.150657288,199.110933808,550.167292757,447.784455769,84.9700494144,17.4127875733
 12/16  20:00:00,944.038953931,102.087533008,439.176683647,0.0,100.150657288,191.61365848,527.325395269,453.26485364,56.6466996096,17.4138420201
 12/16  21:00:00,832.044490925,102.087533008,439.192294469,0.0,55.6251445156,124.558693486,565.47362221,500.108835312,56.6466996096,8.7180872887
 12/16  22:00:00,829.230448953,102.087533008,437.051844711,0.0,55.6251445156,124.558693486,567.534355665,507.636836433,42.4850247072,17.4124945248
 12/16  23:00:00,818.445978745,102.087533008,436.287151499,0.0,46.0930336215,124.558693486,569.28375741,523.546893303,28.3233498048,17.4135143025
 12/16  24:00:00,819.812330158,102.087533008,436.493808104,0.0,46.0930336215,124.558693486,550.225741486,527.346161885,14.1616749024,8.71790469918
 12/17  01:00:00,796.551943761,102.087533008,436.834389469,0.0,34.9616554283,113.312780494,556.673828032,533.595284353,5.66466996096,17.4138737181
 12/17  02:00:00,797.10139566,102.087533008,437.062365198,0.0,34.9616554283,113.312780494,559.281758732,536.203722086,5.66466996096,17.4133666853
 12/17  03:00:00,798.661966177,102.087533008,438.392073301,0.0,34.9616554283,113.312780494,553.453554791,539.071041133,5.66466996096,8.71784369661
 12/17  04:00:00,799.120339701,102.087533008,438.851676909,0.0,34.9616554283,113.312780494,565.66694232,542.59015703,5.66466996096,17.4121153285
 12/17  05:00:00,810.052095583,102.087533008,439.549796971,0.0,44.4937663224,113.312780494,557.757440529,534.679643927,5.66466996096,17.4131266412
 12/17  06:00:00,809.879288102,102.087533008,439.75548828,0.0,44.4937663224,113.312780494,562.645544559,539.766165834,14.1616749024,8.71770382325
 12/17  07:00:00,881.263022554,102.087533008,438.323500381,0.0,54.0258772165,176.889270242,529.62118762,483.883073406,28.3233498048,17.4147644091
 12/17  08:00:00,876.500051917,102.087533008,437.813951957,0.0,54.0258772165,184.38654557,539.366862076,479.468975894,42.4850247072,17.4128614742
 12/17  09:00:00,951.948109391,102.087533008,437.671537317,0.0,65.1572554096,220.04316451,536.323446568,462.186038223,56.6466996096,17.4907087354
 12/17  10:00:00,945.776803528,102.087533008,438.571035979,0.0,65.1572554096,212.545889182,504.939188032,444.882055151,42.4850247072,17.5721081736
